role_level,position,age,experience_years,avg_task_completion,attendance_rate,projects_handled,overtime_hours,training_hours,FeedBack
Junior,UX Designer,33,24,5,5,14,47,26,5
Senior,Data Analyst,23,13,3,1,7,17,16,2
Trainee,Data Analyst,57,27,3,2,11,27,12,3
Senior,Data Scientist,35,15,3,1,4,12,11,1
Trainee,UX Designer,37,16,3,1,2,49,28,1
Senior,UX Designer,40,16,2,1,7,41,20,2
Junior,Software Engineer,55,2,1,3,19,0,19,5
Senior,QA Tester,27,17,1,4,14,49,19,4
Senior,Security Analyst,34,11,4,2,19,18,30,5
Trainee,Business Analyst,57,8,2,5,7,33,7,2
Junior,Software Engineer,43,20,1,3,12,3,23,3
Senior,UI Designer,39,3,5,5,3,42,10,1
Junior,Database Administrator,33,29,1,5,15,2,38,5
Senior,Data Analyst,51,12,4,4,5,40,32,2
Senior,Database Administrator,28,20,2,5,8,9,14,2
Junior,Data Analyst,53,16,1,4,14,27,3,3
Senior,Data Scientist,40,14,3,5,4,33,0,1
Junior,Security Analyst,27,16,1,2,7,38,31,3
Senior,UI Designer,41,27,5,2,7,46,10,2
Trainee,Data Analyst,48,21,3,4,18,18,29,5
Junior,Software Engineer,58,17,1,3,14,41,36,5
Senior,UI Designer,28,11,2,5,8,45,18,2
Senior,Software Engineer,26,17,3,5,12,35,35,4
Trainee,Business Analyst,32,19,1,2,10,42,33,3
Junior,Business Analyst,36,22,2,5,14,2,6,3
Senior,Database Administrator,24,1,3,1,9,22,19,2
Trainee,Data Analyst,26,27,5,2,6,16,11,2
Senior,Data Analyst,44,12,2,3,5,6,31,2
Junior,QA Tester,58,15,4,2,1,25,1,1
Senior,Business Analyst,30,18,5,3,1,42,21,1
Senior,Security Analyst,36,28,2,3,17,17,39,5
Senior,Security Analyst,24,23,5,2,11,45,23,3
Senior,Product Manager,50,14,4,4,12,45,30,4
Trainee,Product Manager,27,1,2,4,3,5,3,1
Trainee,Data Scientist,38,13,5,2,6,30,23,2
Junior,Business Analyst,47,15,2,2,11,28,16,3
Trainee,Software Engineer,42,7,2,5,13,8,39,5
Trainee,Software Engineer,29,15,4,5,11,34,18,3
Junior,DevOps Engineer,42,20,3,2,8,16,39,3
Trainee,UI Designer,32,10,2,1,10,11,37,4
Trainee,System Administrator,59,14,1,5,2,35,33,2
Junior,Database Administrator,29,6,4,4,14,47,32,5
Junior,Product Manager,45,14,4,1,16,23,5,4
Junior,Database Administrator,56,24,3,3,17,9,35,5
Senior,Data Analyst,35,25,5,3,11,29,12,3
Senior,Data Scientist,35,22,2,4,2,28,8,1
Junior,Security Analyst,31,12,2,2,5,38,34,2
Junior,System Administrator,33,11,4,3,16,9,33,5
Junior,UX Designer,59,29,4,1,16,38,15,4
Senior,Data Scientist,55,25,2,5,2,27,17,1
Senior,UX Designer,31,20,1,4,16,17,17,4
Trainee,Network Engineer,38,22,5,4,5,40,37,3
Trainee,Business Analyst,38,24,5,4,8,49,31,3
Junior,UX Designer,24,25,4,3,14,16,6,3
Senior,UX Designer,52,19,2,5,10,10,22,3
Senior,Database Administrator,22,2,5,1,2,0,22,1
Senior,Network Engineer,33,22,5,5,3,16,17,1
Junior,QA Tester,25,20,3,2,18,35,6,4
Trainee,QA Tester,34,1,5,2,2,35,39,2
Junior,QA Tester,55,8,5,3,9,45,23,3
Trainee,Business Analyst,42,25,5,4,2,8,13,1
Trainee,System Administrator,43,14,5,5,7,44,4,2
Junior,Data Scientist,25,9,4,3,7,27,21,2
Trainee,Data Scientist,39,2,4,3,14,47,21,4
Trainee,Data Analyst,26,25,3,5,5,32,9,1
Senior,QA Tester,40,23,4,2,8,2,25,3
Trainee,Business Analyst,23,5,4,5,18,7,14,5
Junior,Data Analyst,33,23,5,4,6,49,37,3
Junior,UI Designer,38,29,3,2,14,5,0,3
Trainee,Data Analyst,31,25,3,1,18,5,13,5
Senior,Database Administrator,55,8,3,3,17,28,35,5
Senior,Database Administrator,27,16,4,2,9,36,30,3
Trainee,System Administrator,29,22,4,1,13,11,27,4
Trainee,Product Manager,32,16,1,1,16,8,33,5
Junior,UX Designer,33,13,3,2,10,40,34,4
Trainee,QA Tester,30,20,1,4,10,48,38,4
Senior,Network Engineer,23,29,1,5,4,18,22,1
Trainee,Product Manager,29,15,4,1,12,16,18,3
Junior,Security Analyst,32,1,2,3,8,47,17,2
Junior,Data Analyst,57,22,2,2,15,43,14,4
Junior,Business Analyst,31,3,1,3,19,31,0,4
Junior,UX Designer,42,6,1,5,15,34,24,4
Junior,Data Scientist,41,22,4,3,8,13,25,3
Trainee,Software Engineer,29,14,3,5,8,48,34,3
Trainee,UX Designer,57,4,5,3,19,15,14,5
Trainee,System Administrator,50,18,2,4,9,20,3,2
Trainee,Security Analyst,33,15,2,3,17,11,14,4
Junior,System Administrator,35,9,2,5,8,23,37,3
Senior,Database Administrator,42,18,4,5,12,33,38,5
Trainee,Data Analyst,43,3,3,4,15,7,0,3
Senior,UI Designer,42,10,5,5,4,43,21,2
Trainee,Database Administrator,51,17,3,1,6,20,10,1
Trainee,System Administrator,41,7,3,5,16,47,37,5
Senior,System Administrator,45,15,4,1,5,7,36,2
Junior,Business Analyst,44,1,5,2,13,27,25,4
Trainee,Data Analyst,28,27,2,1,15,15,26,4
Trainee,UX Designer,30,25,2,5,17,9,12,4
Trainee,UI Designer,22,27,4,5,5,14,6,1
Senior,Product Manager,47,11,3,5,19,3,7,5
Junior,Software Engineer,59,17,5,5,7,25,22,3
Senior,QA Tester,59,5,3,3,3,14,25,1
Senior,Data Scientist,43,7,1,5,13,35,26,4
Junior,System Administrator,31,19,5,5,14,31,8,4
Senior,Data Analyst,27,25,5,3,16,42,37,5
Junior,QA Tester,38,24,1,1,13,37,12,3
Trainee,Database Administrator,59,29,5,4,2,3,6,1
Junior,Data Scientist,45,15,2,5,14,40,10,4
Trainee,Data Scientist,31,3,2,5,7,8,9,2
Senior,Product Manager,29,15,5,5,5,34,32,3
Senior,Product Manager,42,5,3,5,14,27,38,5
Trainee,Database Administrator,27,23,1,5,9,36,2,2
Senior,Product Manager,42,12,2,4,10,46,28,3
Junior,Network Engineer,45,20,4,4,7,8,36,3
Trainee,DevOps Engineer,54,5,1,2,14,1,15,4
Senior,DevOps Engineer,39,3,3,4,14,2,15,4
Trainee,Data Scientist,49,9,4,3,2,43,6,1
Junior,Product Manager,53,26,2,5,17,47,14,5
Junior,Business Analyst,33,9,4,3,4,4,37,2
Senior,System Administrator,48,7,5,1,13,9,5,3
Junior,QA Tester,31,26,3,1,18,27,17,5
Trainee,QA Tester,53,2,2,4,3,14,18,1
Junior,DevOps Engineer,47,23,2,3,19,13,1,4
Trainee,Data Scientist,46,23,4,2,5,45,2,1
Trainee,Database Administrator,32,27,5,1,1,22,24,1
Junior,Data Analyst,44,21,2,3,9,12,35,3
Senior,UX Designer,55,16,2,1,8,15,27,3
Junior,UX Designer,44,9,2,2,3,29,37,2
Trainee,DevOps Engineer,50,13,3,2,2,39,27,1
Trainee,Data Analyst,52,28,2,3,1,7,31,1
Junior,Network Engineer,28,27,5,3,12,16,35,4
Senior,Network Engineer,54,19,2,2,13,29,38,5
Senior,DevOps Engineer,42,20,4,5,10,16,35,4
Trainee,UX Designer,23,17,3,2,17,34,22,5
Trainee,Data Analyst,39,6,3,2,11,0,1,2
Senior,Product Manager,54,4,1,1,5,48,9,1
Junior,Data Scientist,58,1,4,2,9,23,5,2
Trainee,Database Administrator,55,18,1,1,13,47,7,3
Trainee,QA Tester,41,19,1,1,11,48,14,3
Senior,Business Analyst,56,9,3,4,4,24,28,2
Junior,UI Designer,39,13,4,4,11,1,27,4
Senior,Data Scientist,45,8,1,3,9,24,21,3
Junior,Product Manager,29,23,1,4,7,13,33,3
Junior,Security Analyst,51,13,5,1,16,38,19,4
Junior,UX Designer,31,15,5,5,5,32,32,3
Trainee,Product Manager,44,11,2,1,6,16,14,1
Senior,Security Analyst,32,12,4,4,19,30,6,5
Senior,DevOps Engineer,23,14,3,1,1,9,23,1
Junior,Data Analyst,47,4,4,5,16,5,25,5
Trainee,QA Tester,57,1,5,3,18,38,9,5
Trainee,System Administrator,54,24,1,1,13,24,14,3
Senior,DevOps Engineer,34,4,4,4,1,37,36,2
Trainee,Data Scientist,46,19,3,1,10,36,23,3
Trainee,DevOps Engineer,25,9,3,4,7,29,10,2
Junior,Data Scientist,40,10,4,4,5,33,39,3
Trainee,System Administrator,39,4,5,2,13,17,20,4
Junior,Software Engineer,58,20,1,2,16,23,39,5
Senior,Security Analyst,51,9,1,1,14,48,37,5
Trainee,QA Tester,40,13,1,4,11,26,14,3
Senior,Business Analyst,44,12,5,2,19,26,14,5
Senior,Business Analyst,37,11,4,3,2,38,36,2
Trainee,Security Analyst,22,12,4,5,8,20,13,2
Trainee,UI Designer,33,18,1,2,13,18,20,3
Senior,Product Manager,45,12,5,5,7,38,19,2
Trainee,Software Engineer,55,16,5,4,12,22,32,4
Junior,Security Analyst,29,5,4,2,8,38,2,1
Junior,Business Analyst,39,20,2,3,16,47,39,5
Trainee,DevOps Engineer,26,25,1,4,18,43,22,5
Senior,Product Manager,47,12,3,3,19,46,22,5
Trainee,Software Engineer,51,21,4,1,4,14,26,2
Trainee,Data Analyst,34,25,1,1,12,42,34,4
Senior,Data Analyst,40,11,4,4,16,1,24,5
Senior,Product Manager,50,9,2,4,17,34,31,5
Junior,Security Analyst,24,18,4,3,4,19,21,2
Senior,Data Scientist,47,25,3,1,9,27,7,2
Junior,Data Scientist,33,3,1,5,5,14,37,3
Senior,DevOps Engineer,23,20,3,5,17,15,17,5
Trainee,Software Engineer,32,17,2,1,17,32,27,5
Junior,Software Engineer,49,14,1,1,2,46,27,1
Junior,Product Manager,39,1,5,5,2,11,10,1
Junior,UX Designer,34,17,1,5,7,38,11,2
Trainee,Data Analyst,58,25,2,4,4,38,1,1
Trainee,Software Engineer,43,27,1,5,13,42,36,5
Trainee,Product Manager,33,8,1,4,11,19,3,2
Trainee,System Administrator,23,5,2,2,3,28,33,2
Trainee,UI Designer,58,5,1,4,2,42,22,1
Junior,System Administrator,28,9,3,4,16,48,12,4
Trainee,QA Tester,47,3,1,5,3,2,6,1
Junior,Security Analyst,47,19,4,2,15,47,31,5
Trainee,DevOps Engineer,45,23,1,4,17,4,22,5
Senior,Software Engineer,33,9,1,4,16,1,7,4
Junior,QA Tester,37,22,2,2,7,22,36,3
Senior,Business Analyst,44,18,5,2,16,25,33,5
Junior,QA Tester,30,16,4,5,5,25,28,2
Senior,Database Administrator,53,1,4,3,2,6,36,2
Trainee,Product Manager,36,2,1,4,1,9,22,1
Trainee,Software Engineer,58,14,5,5,13,4,37,5
Trainee,UI Designer,34,14,1,2,16,46,28,5
Junior,Security Analyst,26,1,2,5,5,11,4,1
Senior,Product Manager,32,26,4,4,3,31,39,2
Trainee,Database Administrator,31,26,2,3,15,41,10,4
Senior,Product Manager,34,25,5,3,16,30,13,4
Senior,Database Administrator,36,16,1,5,11,21,1,2
Trainee,DevOps Engineer,28,15,5,2,19,16,34,5
Trainee,DevOps Engineer,49,26,4,2,18,19,34,5
Senior,Data Analyst,53,15,3,2,9,19,27,3
Trainee,Data Analyst,56,12,1,2,8,42,7,2
Trainee,Data Scientist,36,16,2,3,19,7,31,5
Trainee,UX Designer,57,14,5,5,5,46,3,1
Junior,Software Engineer,42,29,2,5,17,33,6,4
Senior,Software Engineer,27,24,4,2,5,48,38,3
Senior,Network Engineer,22,15,5,3,14,22,26,4
Junior,Database Administrator,25,23,2,4,7,37,36,3
Senior,QA Tester,32,15,3,1,9,27,16,2
Trainee,Software Engineer,47,19,4,5,17,12,9,4
Senior,Software Engineer,58,8,1,5,3,28,3,1
Trainee,UX Designer,44,2,1,5,8,7,22,3
Junior,Business Analyst,50,2,3,2,13,10,13,3
Trainee,Data Analyst,42,27,2,3,16,46,4,4
Senior,Data Analyst,48,10,4,1,10,44,1,2
Senior,UI Designer,34,3,1,2,18,17,23,5
Senior,Software Engineer,44,23,5,3,3,49,17,1
Junior,UX Designer,37,17,1,5,12,24,26,4
Junior,Security Analyst,51,8,3,5,16,48,23,5
Senior,Data Analyst,25,28,3,5,18,21,28,5
Trainee,UX Designer,37,23,1,5,17,44,10,4
Junior,System Administrator,52,4,1,1,7,34,17,2
Senior,Business Analyst,46,14,4,4,19,28,3,5
Senior,Software Engineer,33,21,5,1,8,20,32,3
Junior,UI Designer,47,10,2,2,17,6,13,4
Junior,Database Administrator,58,29,3,3,7,11,31,3
Junior,QA Tester,54,1,2,4,1,35,3,1
Trainee,Data Analyst,49,4,1,4,8,23,19,2
Trainee,System Administrator,30,1,4,1,19,31,20,5
Senior,Security Analyst,33,17,5,1,10,26,2,2
Junior,Database Administrator,26,26,2,1,12,31,24,3
Trainee,UX Designer,49,17,5,1,1,31,3,1
Junior,DevOps Engineer,56,7,1,1,4,31,10,1
Senior,Product Manager,26,23,4,4,4,25,15,1
Trainee,Software Engineer,55,20,3,5,9,10,35,4
Trainee,Software Engineer,55,15,3,3,15,45,5,3
Trainee,System Administrator,34,13,3,4,15,17,30,5
Senior,UX Designer,35,28,2,1,7,38,39,3
Junior,Data Scientist,32,2,4,5,12,4,12,3
Trainee,Software Engineer,59,28,4,2,3,15,22,1
Senior,Data Scientist,25,19,2,5,9,10,3,2
Junior,Security Analyst,54,24,5,5,14,34,36,5
Senior,DevOps Engineer,28,13,2,5,13,47,36,5
Junior,System Administrator,29,24,4,1,12,10,32,4
Senior,Database Administrator,58,11,1,4,1,41,28,1
Junior,UX Designer,31,27,1,1,19,22,36,5
Trainee,UX Designer,36,22,2,1,16,33,18,4
Junior,Network Engineer,59,15,3,1,12,47,19,3
Senior,Security Analyst,36,10,4,5,10,16,31,4
Senior,Security Analyst,26,9,2,5,2,9,15,1
Junior,Business Analyst,50,27,1,2,18,17,4,4
Trainee,Product Manager,40,28,2,3,13,43,11,3
Trainee,Data Analyst,31,9,4,5,6,7,20,2
Junior,Data Analyst,33,20,4,3,12,25,13,3
Junior,Network Engineer,25,28,1,2,4,2,36,2
Senior,QA Tester,52,1,1,3,1,23,21,1
Trainee,UI Designer,39,17,4,4,11,2,29,4
Junior,System Administrator,37,12,1,3,8,37,22,2
Trainee,DevOps Engineer,57,10,1,4,2,1,4,1
Junior,UX Designer,46,5,1,3,2,34,28,1
Junior,Product Manager,44,29,3,2,16,16,29,5
Trainee,Data Scientist,33,18,3,2,1,8,17,1
Junior,System Administrator,55,15,4,1,4,35,0,1
Junior,QA Tester,57,6,2,3,6,21,38,3
Senior,System Administrator,58,7,4,1,14,30,16,4
Junior,QA Tester,24,17,1,5,15,33,2,3
Junior,UX Designer,30,6,5,3,7,23,6,2
Junior,UI Designer,39,8,3,4,7,8,26,3
Senior,QA Tester,56,12,3,5,18,45,27,5
Trainee,UX Designer,55,21,2,5,2,42,30,1
Senior,UX Designer,35,14,1,5,15,1,14,4
Senior,UI Designer,25,12,3,3,1,20,7,1
Trainee,Data Analyst,50,23,4,1,17,33,5,4
Senior,System Administrator,36,10,1,5,13,26,27,4
Trainee,Network Engineer,49,22,5,5,12,36,3,3
Senior,Software Engineer,37,20,5,5,15,6,29,5
Trainee,Software Engineer,33,15,3,4,5,21,16,2
Junior,Network Engineer,26,7,5,4,7,3,33,3
Senior,Data Scientist,55,26,1,1,8,13,5,1
Senior,Security Analyst,22,9,1,4,14,33,35,5
Senior,Data Scientist,53,10,1,1,4,22,34,2
Senior,Security Analyst,47,10,3,2,14,43,38,5
Junior,Network Engineer,38,16,1,3,10,41,38,4
Senior,Software Engineer,48,29,5,3,16,24,15,4
Junior,DevOps Engineer,45,7,1,1,11,0,1,2
Junior,Software Engineer,56,28,2,5,14,47,7,3
Junior,Data Scientist,47,5,5,5,14,14,14,4
Junior,Product Manager,59,23,2,4,2,31,26,1
Trainee,Network Engineer,44,3,2,3,13,13,15,3
Trainee,Data Scientist,43,18,4,5,3,40,0,1
Senior,DevOps Engineer,25,11,2,1,18,20,9,4
Trainee,System Administrator,30,15,2,4,4,46,6,1
Trainee,Security Analyst,25,21,2,1,19,6,9,4
Senior,Software Engineer,28,20,3,2,16,35,11,4
Senior,UI Designer,44,5,5,3,4,20,16,1
Senior,Product Manager,23,24,5,4,19,49,11,5
Trainee,UX Designer,45,12,2,1,15,39,14,4
Trainee,DevOps Engineer,52,4,2,2,1,11,31,1
Senior,Data Scientist,52,15,3,3,16,14,31,5
Junior,Security Analyst,55,9,5,3,15,14,25,5
Senior,UI Designer,45,7,1,4,16,16,13,4
Junior,QA Tester,47,10,2,2,1,33,25,1
Junior,Data Analyst,37,29,4,3,17,43,4,4
Senior,Software Engineer,34,28,5,1,5,34,37,3
Senior,Database Administrator,36,23,1,1,5,38,3,1
Senior,Data Analyst,48,13,2,3,7,37,27,2
Trainee,DevOps Engineer,25,29,2,4,13,13,0,3
Junior,QA Tester,37,8,1,1,12,4,12,3
Trainee,QA Tester,51,12,3,1,4,29,2,1
Trainee,QA Tester,51,22,4,3,4,3,24,2
Senior,UX Designer,57,24,3,2,6,14,15,2
Trainee,DevOps Engineer,24,19,1,2,15,38,20,4
Senior,Database Administrator,43,26,1,3,19,34,12,5
Junior,System Administrator,43,26,2,1,6,44,35,2
Senior,Data Analyst,33,1,2,1,12,9,7,3
Trainee,Database Administrator,42,16,4,5,14,1,18,4
Trainee,System Administrator,25,22,1,4,18,43,15,5
Senior,UI Designer,52,17,1,4,12,23,11,3
Senior,Business Analyst,52,25,2,3,15,27,19,4
Trainee,Product Manager,44,18,3,4,19,21,17,5
Junior,Product Manager,41,11,3,5,8,43,11,2
Junior,System Administrator,36,18,5,4,9,31,24,3
Senior,Business Analyst,44,7,1,2,5,30,10,1
Junior,Database Administrator,49,18,4,3,5,18,21,2
Trainee,Business Analyst,37,26,2,3,6,20,33,3
Senior,Software Engineer,58,8,2,3,3,2,12,1
Trainee,UI Designer,42,6,5,3,5,5,37,3
Trainee,DevOps Engineer,36,7,2,5,1,31,11,1
Junior,Business Analyst,38,23,4,4,11,1,38,4
Senior,Data Scientist,58,22,2,1,1,23,35,1
Senior,Network Engineer,34,10,3,1,7,44,27,2
Junior,Product Manager,40,11,4,3,15,26,26,5
Trainee,Data Scientist,51,25,5,1,17,8,38,5
Trainee,UI Designer,39,13,5,2,8,12,12,2
Trainee,Business Analyst,35,9,3,2,2,13,39,2
Trainee,Data Analyst,57,7,2,2,13,10,26,4
Senior,Product Manager,57,9,4,5,12,13,30,4
Senior,Software Engineer,41,13,4,2,5,15,1,1
Junior,Security Analyst,40,26,1,2,13,9,17,3
Junior,Software Engineer,28,3,3,1,6,19,25,2
Senior,Network Engineer,25,3,5,3,15,15,30,5
Senior,QA Tester,55,1,3,1,11,33,37,4
Trainee,Security Analyst,23,21,2,4,4,15,21,1
Trainee,UX Designer,26,20,5,1,1,13,35,1
Junior,Business Analyst,31,2,1,3,15,27,18,4
Senior,UI Designer,53,25,2,5,12,17,13,3
Junior,Product Manager,34,3,4,1,9,25,13,2
Senior,UX Designer,26,15,2,3,11,37,28,4
Trainee,UI Designer,31,24,4,3,5,6,16,2
Junior,Network Engineer,31,6,1,4,7,44,36,3
Junior,System Administrator,59,13,2,3,8,33,8,2
Senior,Business Analyst,48,21,1,3,1,46,0,1
Trainee,DevOps Engineer,42,1,5,4,1,48,3,1
Junior,DevOps Engineer,29,20,2,3,3,44,6,1
Trainee,Business Analyst,22,19,2,2,8,6,10,2
Junior,Security Analyst,49,1,1,1,11,32,13,3
Trainee,QA Tester,35,28,1,4,1,34,18,1
Senior,QA Tester,42,21,3,5,14,49,39,5
Junior,Security Analyst,51,22,1,5,1,38,2,1
Junior,Database Administrator,42,2,3,5,6,20,7,1
Trainee,DevOps Engineer,30,15,3,4,6,48,28,2
Trainee,Data Analyst,38,14,4,4,3,27,36,2
Junior,Security Analyst,26,19,4,4,10,31,8,2
Senior,Product Manager,52,11,3,3,12,43,18,3
Trainee,DevOps Engineer,59,15,2,3,10,15,11,2
Trainee,Data Analyst,40,6,4,2,2,9,26,1
Trainee,Network Engineer,57,20,4,2,13,22,36,5
Junior,UX Designer,54,9,1,4,16,47,24,5
Junior,Data Analyst,34,5,5,3,13,49,37,5
Junior,UX Designer,35,20,1,2,4,14,16,1
Junior,UI Designer,54,2,1,1,4,42,32,2
Senior,Data Scientist,50,6,1,5,11,49,38,4
Senior,UI Designer,57,26,5,4,14,5,13,4
Junior,DevOps Engineer,31,18,3,3,3,32,27,1
Senior,UX Designer,52,28,4,3,19,38,17,5
Trainee,DevOps Engineer,27,29,2,3,1,11,32,1
Trainee,Security Analyst,22,23,3,1,5,35,14,1
Trainee,Business Analyst,28,19,2,3,17,30,10,4
Junior,Product Manager,48,9,5,4,1,9,35,2
Trainee,Software Engineer,42,27,1,2,19,33,14,5
Senior,DevOps Engineer,49,21,2,2,19,40,29,5
Junior,Product Manager,37,24,1,1,4,9,14,1
Senior,Security Analyst,44,27,5,3,19,10,22,5
Trainee,Data Analyst,41,6,3,1,6,13,14,1
Trainee,Security Analyst,59,14,2,3,15,2,28,5
Trainee,Network Engineer,46,28,3,3,4,32,10,1
Junior,UI Designer,49,26,5,5,1,6,17,1
Senior,Database Administrator,26,24,5,3,17,3,39,5
Junior,Data Analyst,42,29,4,2,11,38,30,4
Junior,Software Engineer,39,13,2,3,17,47,8,4
Trainee,UX Designer,27,11,1,4,1,9,21,1
Junior,Business Analyst,50,12,5,1,9,14,10,2
Junior,Product Manager,40,19,3,4,14,15,16,4
Trainee,Business Analyst,54,19,2,5,15,37,32,5
Junior,Data Scientist,22,21,3,2,1,3,10,1
Trainee,Security Analyst,24,27,5,4,2,3,38,2
Trainee,DevOps Engineer,42,26,2,5,18,35,7,4
Trainee,UX Designer,56,19,3,3,18,26,3,4
Trainee,Data Scientist,24,24,5,4,6,21,35,3
Junior,Security Analyst,46,26,3,2,8,21,18,2
Trainee,System Administrator,59,13,2,2,1,16,23,1
Trainee,DevOps Engineer,41,28,5,4,15,44,17,4
Junior,Data Analyst,55,14,5,4,10,33,32,4
Junior,UI Designer,42,24,5,5,4,31,35,2
Senior,Product Manager,44,18,4,2,10,5,9,2
Junior,Database Administrator,27,12,2,3,11,32,13,3
Junior,Network Engineer,34,4,5,2,5,7,6,1
Senior,Software Engineer,44,10,2,1,9,49,11,2
Junior,Software Engineer,30,29,5,3,5,35,21,2
Junior,Database Administrator,38,17,5,2,11,4,26,4
Junior,Data Analyst,23,4,3,2,3,4,36,2
Junior,QA Tester,40,12,5,2,4,46,10,1
Senior,Software Engineer,40,13,4,2,10,9,35,4
Junior,Product Manager,28,29,1,5,7,39,12,2
Junior,Data Analyst,41,27,4,4,1,6,31,1
Senior,UX Designer,30,29,1,1,6,11,7,1
Trainee,Software Engineer,38,4,3,5,8,29,6,2
Senior,Business Analyst,48,10,1,4,17,24,16,4
Trainee,Data Analyst,23,25,3,5,7,27,21,2
Senior,Product Manager,57,3,5,2,1,42,33,1
Senior,Database Administrator,40,15,5,3,9,12,19,3
Junior,Business Analyst,38,2,2,5,11,46,7,3
Trainee,DevOps Engineer,26,25,3,2,19,48,21,5
Junior,DevOps Engineer,39,25,3,5,2,21,26,1
Trainee,Software Engineer,28,17,5,5,11,17,33,4
Senior,Business Analyst,38,6,3,5,3,26,20,1
Senior,UI Designer,57,26,4,2,17,7,14,4
Trainee,Security Analyst,25,8,5,2,10,5,4,2
Junior,DevOps Engineer,59,3,2,2,3,10,37,2
Junior,UI Designer,46,27,5,5,3,28,16,1
Junior,UX Designer,26,25,5,2,7,40,7,2
Junior,Data Analyst,51,18,5,3,2,4,18,1
Senior,Security Analyst,33,22,2,3,1,6,4,1
Senior,Data Scientist,25,1,2,2,7,21,22,2
Senior,Product Manager,45,29,5,1,11,46,18,3
Senior,Network Engineer,50,16,2,3,6,3,13,1
Senior,Data Analyst,30,7,3,5,4,31,9,1
Junior,Database Administrator,25,3,1,1,19,18,30,5
Junior,Security Analyst,45,23,1,5,19,44,12,5
Junior,Product Manager,35,4,3,4,14,32,21,4
Junior,Security Analyst,26,9,3,4,3,0,36,2
Senior,Business Analyst,39,5,2,4,4,45,38,2
Senior,UX Designer,40,19,3,2,8,40,9,2
Senior,System Administrator,33,15,3,3,18,43,30,5
Trainee,Network Engineer,39,8,4,5,4,49,34,2
Junior,Software Engineer,38,6,4,2,11,40,12,3
Junior,Security Analyst,51,18,3,3,16,7,29,5
Senior,Product Manager,45,19,3,1,3,31,33,2
Junior,Product Manager,32,24,1,4,7,29,35,3
Junior,Business Analyst,56,15,3,3,2,45,34,2
Senior,UI Designer,44,26,3,3,1,27,3,1
Trainee,Data Analyst,38,7,3,1,1,40,3,1
Trainee,Database Administrator,22,10,2,5,6,31,5,1
Trainee,System Administrator,36,6,4,2,19,24,27,5
Senior,QA Tester,53,14,1,4,7,33,29,3
Junior,Software Engineer,30,17,5,3,5,32,26,2
Senior,Data Scientist,36,9,1,4,18,12,4,4
Senior,QA Tester,49,19,5,2,13,24,38,5
Junior,Data Analyst,45,5,3,4,1,41,34,1
Trainee,Software Engineer,56,23,3,2,10,39,38,4
Trainee,Product Manager,43,7,2,3,9,38,14,2
Senior,Data Scientist,48,19,1,4,17,43,18,5
Trainee,Security Analyst,40,20,2,4,1,48,29,1
Senior,UI Designer,33,26,1,4,1,43,37,1
Senior,System Administrator,41,7,4,5,7,47,31,3
Junior,Security Analyst,22,24,2,2,4,9,39,2
Junior,Database Administrator,42,2,4,5,12,30,28,4
Junior,UI Designer,22,25,2,1,16,43,5,3
Senior,UX Designer,31,23,5,4,14,10,25,5
Junior,Business Analyst,53,16,3,3,10,24,26,3
Trainee,Software Engineer,43,13,1,3,14,45,34,5
Trainee,Security Analyst,39,8,2,2,7,44,27,2
Senior,UI Designer,53,6,2,3,4,33,4,1
Senior,QA Tester,48,6,1,1,2,19,15,1
Junior,Business Analyst,49,9,3,2,18,6,17,5
Senior,UI Designer,39,4,4,1,16,32,12,4
Senior,DevOps Engineer,50,27,5,3,9,34,24,3
Trainee,UX Designer,39,11,3,1,5,28,9,1
Trainee,Data Analyst,29,5,5,1,9,11,28,3
Junior,Security Analyst,52,25,5,1,8,4,9,2
Senior,Database Administrator,55,17,5,2,16,11,5,4
Senior,System Administrator,28,20,3,5,18,28,15,5
Trainee,UX Designer,57,7,1,5,4,34,24,2
Senior,Business Analyst,39,27,2,1,16,19,3,3
Trainee,DevOps Engineer,59,15,4,4,4,36,36,2
Junior,Software Engineer,30,25,3,4,6,0,33,3
Trainee,QA Tester,30,15,1,3,3,15,18,1
Senior,System Administrator,29,14,3,4,18,29,32,5
Junior,Security Analyst,56,13,1,2,15,8,3,3
Trainee,System Administrator,39,11,4,3,8,41,33,3
Trainee,UX Designer,26,28,1,2,18,9,11,4
Junior,Business Analyst,35,13,4,1,3,12,30,2
Junior,Software Engineer,49,26,4,4,6,47,15,2
Trainee,Product Manager,51,22,1,3,15,19,1,3
Senior,Database Administrator,25,28,3,2,12,28,1,2
Trainee,DevOps Engineer,41,24,4,3,5,3,35,3
Junior,Security Analyst,46,29,2,4,7,45,5,1
Trainee,Product Manager,49,9,1,5,15,48,22,4
Junior,QA Tester,33,10,2,4,7,27,38,3
Junior,Software Engineer,23,4,3,3,13,36,36,5
Senior,Network Engineer,35,17,3,3,3,12,15,1
Junior,Network Engineer,43,14,1,2,13,2,18,3
Junior,Software Engineer,52,24,3,1,3,36,23,1
Senior,DevOps Engineer,44,18,2,2,2,47,26,1
Junior,Data Scientist,41,11,5,3,4,18,6,1
Senior,Product Manager,59,16,2,4,17,27,29,5
Senior,UI Designer,25,1,5,5,6,18,13,2
Junior,System Administrator,36,29,3,4,11,16,14,3
Junior,Security Analyst,45,7,4,1,6,17,11,1
Trainee,Data Scientist,46,28,3,1,2,17,28,1
